precinct,Doors,Phones,Active Reg,attempts,target_doors,1,2,3,4,5
04s,313,834,880,"1,147","1,020",9,23,22,0,0
11b,748,"1,171","1,045","2,216","1,159",40,32,44,0,2
11b1,218,576,610,"1,186",746,12,14,9,0,1
11b3,51,255,438,693,524,10,3,3,0,1
11c,178,223,128,351,140,8,23,15,0,0
11c2,312,"1,056",780,"1,836",907,6,6,7,2,0
11c3,248,613,248,861,259,7,4,13,0,0
11g,135,493,"1,000","1,493","1,285",7,0,10,0,0
11h,162,261,264,525,325,5,7,7,0,1
11j,315,913,789,"1,702","1,038",14,17,12,0,0
11k,398,909,780,"1,689",894,15,10,17,0,1
11m,375,714,504,"1,218",551,6,20,32,1,1
11m1,88,607,838,"1,445",1059,6,16,7,0,0
11n,612,1244,917,"2,161",1040,18,11,15,0,3
11p,44,831,1156,"1,987",1358,9,11,2,0,0
11r,58,378,896,"1,274",1119,4,7,6,0,0
1.10E+02,206,466,561,"1,027",655,23,9,11,2,1
1.10E+03,190,407,448,855,489,10,13,6,0,1
1.10E+04,772,1251,1514,"2,765",1744,18,29,13,1,1
